;;;;Cost/benefit;50% avg. risk;33% avg. risk;20% avg. risk;50% ind. risk;33% ind. risk;20% ind. risk
adversary cost;adversary gain;publisher loss;publisher benefit;Value;Value;Value;Value;Value;Value;Value
4.0;300.0;250.0;1200.0;0.8670188262031264;0.8227499298410362;0.8112999838175708;0.759927029387538;0.7244197186413592;0.6849632628481737;0.6449371078886093
4.0;300.0;500.0;1200.0;0.7435937299146395;0.7435937299146395;0.7435937299146395;0.7234506210053211;0.7001291863699743;0.6690192401585374;0.6354804982431232
4.0;300.0;750.0;1200.0;0.6870447362132118;0.6870447362132118;0.6870447362132118;0.6870447362132118;0.6769291413263119;0.6562931260957013;0.6260238885976372
4.0;300.0;1000.0;1200.0;0.6537290962826497;0.6509074349427751;0.6509074349427751;0.6509074349427751;0.6537290962826497;0.6435670120328654;0.6165672789521515
4.0;300.0;1250.0;1200.0;0.6372140035484165;0.6261662595122406;0.6261662595122406;0.6261662595122406;0.6372140035484165;0.6308408979700296;0.6086002411628242
4.0;300.0;1500.0;1200.0;0.6213975359952085;0.6029364760002822;0.6029364760002822;0.6029364760002822;0.6213975359952085;0.6181147839071937;0.6011910706828021
4.0;300.0;1750.0;1200.0;0.6057462372388343;0.5858339607212674;0.5858339607212674;0.5858339607212674;0.6055810684420008;0.6053886698443577;0.5937819002027798
4.0;300.0;2000.0;1200.0;0.5950675275397579;0.5687314454422527;0.5687314454422527;0.5687314454422527;0.5921954098831979;0.5950675275397579;0.5863727297227578
4.0;300.0;300.0;250.0;0.6251934882079694;0.6084855985988695;0.6084855985988695;0.6084855985988695;0.6251934882079694;0.6211690512822702;0.6029692715980088
4.0;300.0;300.0;500.0;0.6913812123656076;0.6913812123656076;0.6913812123656076;0.6913812123656076;0.6797131467315585;0.6578202597832388;0.6271586817550978
4.0;300.0;300.0;750.0;0.7490102302267474;0.7490102302267474;0.7490102302267474;0.7263687336758614;0.7019851899734788;0.6700373292835613;0.6362370270147593
4.0;300.0;300.0;1000.0;0.8085071097325021;0.7815092321002419;0.7815092321002419;0.7438774096992847;0.7131212115944324;0.6773114708270489;0.6407761996445976
4.0;300.0;300.0;1250.0;0.8468056877860016;0.8072944258129533;0.8010086332241304;0.7543826153133824;0.7200948617061745;0.6823199165136078;0.6434997032224918
4.0;300.0;300.0;1500.0;0.8723380731550013;0.8268171677435305;0.8140082339735614;0.7613860857227911;0.7255578388874925;0.6856588803046497;0.6453153722744258
4.0;300.0;300.0;1750.0;0.8905754912757154;0.8407619834079019;0.8232936630801415;0.7663885645865137;0.7294599654456088;0.6880438544410843;0.6466122787400899
4.0;300.0;300.0;2000.0;0.904253554866251;0.8512205951564183;0.8302577349103576;0.7703580834479814;0.7323865603641219;0.6898325850434435;0.6475849585893475
